image_path,label
data\processed\toyota\images346.jpg,6
data\processed\lexus\images64.jpg,1
data\processed\skoda\images154.jpg,5
data\processed\toyota\images363.jpg,6
data\processed\mercedes\large.JPG.jpg,3
data\processed\hyundai\large.jpg,0
data\processed\mercedes\images271.jpg,3
data\processed\skoda\images29.jpg,5
data\processed\hyundai\images340.jpg,0
data\processed\mazda\Mazda-Logo-Feat.-Image1-700x435.jpg,2
data\processed\volkswagen\vwffgga.jpg,7
data\processed\volkswagen\images208.jpg,7
data\processed\hyundai\11.5cm20x205.5cm-1024x768.jpg,0
data\processed\hyundai\image-260nw-727858813.jpg,0
data\processed\opel\images313.jpg,4
data\processed\opel\images340.jpg,4
data\processed\skoda\images14.jpg,5
data\processed\toyota\a3.jpg,6
data\processed\hyundai\images267.jpg,0
data\processed\toyota\maxresdefault.jpg,6
data\processed\volkswagen\images348.jpg,7
data\processed\toyota\a14.jpg,6
data\processed\opel\images479.jpg,4
data\processed\lexus\images93.jpg,1
data\processed\toyota\images227.jpg,6
data\processed\toyota\images50.jpg,6
data\processed\mazda\0011.jpg,2
data\processed\opel\images111.jpg,4
data\processed\mercedes\images314.jpg,3
data\processed\opel\images238.jpg,4
data\processed\volkswagen\vefg.jpg,7
data\processed\mercedes\images291.jpg,3
data\processed\skoda\images124.jpg,5
data\processed\skoda\images443.jpg,5
data\processed\hyundai\images319.jpg,0
data\processed\hyundai\images244.jpg,0
data\processed\toyota\images118.jpg,6
data\processed\volkswagen\images342.jpg,7
data\processed\toyota\images117.jpg,6
data\processed\toyota\images366.jpg,6
data\processed\hyundai\images152.jpg,0
data\processed\lexus\images55.jpg,1
data\processed\volkswagen\images286.jpg,7
data\processed\lexus\images178.jpg,1
data\processed\mercedes\images377.jpg,3
data\processed\lexus\a28.jpg,1
data\processed\skoda\skoda-logo-3-sticker.jpg,5
data\processed\opel\images359.jpg,4
data\processed\toyota\images347.jpg,6
data\processed\lexus\images142.jpg,1
data\processed\mercedes\images183.jpg,3
data\processed\skoda\0_org_zoom.jpg,5
data\processed\opel\opel-logo-amblem-sicrama-oto-sticker_401207967.jpg,4
data\processed\toyota\images329.jpg,6
data\processed\lexus\a29.jpg,1
data\processed\mercedes\images239.jpg,3
data\processed\toyota\logo_Toyota.jpg,6
data\processed\lexus\images14.jpg,1
data\processed\lexus\images121.jpg,1
data\processed\hyundai\images138.jpg,0
data\processed\lexus\lop8437w.jpg,1
data\processed\mazda\2bfe65es-1920.jpg,2
data\processed\mazda\mazda-logo-adesivo-prespaziato.jpg,2
data\processed\skoda\images417.jpg,5
data\processed\mazda\55338337271.jpg,2
data\processed\mercedes\images66.jpg,3
data\processed\hyundai\kisspng-hyundai-motor-company-car-vector-graphics-logo-5b6c48f5eff857.8957045915338232219829.jpg,0
data\processed\volkswagen\vw123r.jpg,7
data\processed\hyundai\images348.jpg,0
data\processed\hyundai\images373.jpg,0
data\processed\volkswagen\images179.jpg,7
data\processed\toyota\images209.jpg,6
data\processed\hyundai\images382.jpg,0
data\processed\opel\images335.jpg,4
data\processed\opel\a4.jpg,4
data\processed\mercedes\images137.jpg,3
data\processed\hyundai\images77.jpg,0
data\processed\hyundai\images392.jpg,0
data\processed\hyundai\images72.jpg,0
data\processed\volkswagen\images34.jpg,7
data\processed\hyundai\images130.jpg,0
data\processed\toyota\images348.jpg,6
data\processed\toyota\images72.jpg,6
data\processed\skoda\images13.jpg,5
data\processed\opel\opel-yeni-logo.jpg,4
data\processed\opel\a11.jpg,4
data\processed\toyota\images15.jpg,6
data\processed\mazda\kk22.jpg,2
data\processed\hyundai\images435.jpg,0
data\processed\lexus\images34.jpg,1
data\processed\lexus\images143.jpg,1
data\processed\mercedes\images110.jpg,3
data\processed\volkswagen\a25.jpg,7
data\processed\opel\images226.jpg,4
data\processed\opel\cc.jpg,4
data\processed\toyota\images151.jpg,6
data\processed\volkswagen\images62.jpg,7
data\processed\opel\images361.jpg,4
data\processed\mazda\56c433u-960.jpg,2
data\processed\toyota\images173.jpg,6
